Request codestral GPTQ 8bits 2V100 \ Size	31	63	119	296	480	822	2193
1	3,1	3,2	3,2	3,3	3,4	3,7	4,3
2	3,3	3,4	3,4	3,6	4	4,4	5,8
4	3,7	3,8	3,9	4,4	4,8	5,6	8,8
8	4,8	5,1	5,3	6	6,8	8,8	15
16	7,1	7,5	7,9	9,8	11,7	14,3	27,5
32	10,4	10,9	11,9	15,3	19	24,6	53,8
64	15,5	17	18,7	25,9	32,1	43,9	108,2
128	21,7	np.nan	np.nan	np.nan	np.nan	np.nan	np.nan
							
							
							
Request codestral 2A100 \ Size	31	63	119	296	480	822	2193
1	2,3	2,3	2,4	2,4	2,5	2,6	2,8
2	2,3	2,3	2,4	2,5	2,6	2,7	3,3
4	2,4	2,4	2,5	2,7	2,8	3,1	4,2
8	2,5	2,6	2,8	3,1	3,4	4,1	6,3
16	2,8	2,9	3,2	3,8	4,4	5,6	10,2
32	3,3	3,7	4	5,2	6,4	8,8	18,1
64	4,3	4,6	5,7	8	10,5	15,5	36,8
128	6,8	7,8	9,4	14,5	19,6	32,9	71,1
							
Request codestral AWQ 1A100 \ Size	31	63	119	296	480	822	2193
1	2,3	2,3	2,4	2,5	2,6	2,6	3
2	2,3	2,4	2,5	2,7	2,7	2,8	3,5
4	2,4	2,5	2,6	2,8	3	3,4	4,8
8	2,6	2,7	2,8	3,2	3,7	4,5	7,4
16	3	3,2	3,4	4,2	5	6,4	12,3
32	4,5	4,8	5,4	6,7	8,4	11,4	23,1
64	7,9	8,5	9,3	12,3	15,8	21,6	47,7
128	14,3	15,4	17,6	24,2	29,9	46,4	96,2
							
							
Request llama370b AWQ 2A100 \ Size	21	51	97	240	398	703	1848
1	3,6	3,7	3,7	3,9	4	4,2	4,8
2	3,7	3,7	3,9	4,1	4,2	4,5	5,8
4	3,8	4	4,1	4,4	4,7	5,4	7,9
8	4,3	4,5	4,8	5,1	5,9	7,4	12,5
16	4,9	5,2	5,7	6,9	8,3	10,8	21,4
32	7,6	8,2	8,7	11,1	13,7	19,6	40,9
64	12,9	13,9	15,2	20,3	25,8	37,5	np.nan
128	23,2	np.nan	np.nan	np.nan	np.nan	np.nan	np.nan
							
Request mistral 7B 2V100 \ Size	31	63	119	296	480	822	2193
1	1,8	1,8	1,9	1,9	1,9	2,1	2,3
2	2,1	2,1	2	2,2	2,3	2,6	2,8
4	2,2	2,3	2,1	2,6	2,5	2,8	3,7
8	2,4	2,4	2,5	2,7	3	3,5	5,9
16	2,9	2,9	3	3,8	4,2	5,2	9,2
32	4,2	4,2	4,5	5,4	6,9	8,8	19
64	6,7	7,1	7,7	9,8	11,9	17,1	36
128	10,6	10,4	11,5	16,2	24,4	33,3	72,1
